la_code,old_la_code,la_name,region_code,region_name
E06000004,808,Stockton-on-Tees,E12000001,North East
E06000021,861,Stoke-on-Trent,E12000005,West Midlands
E10000029,935,Suffolk,E12000006,East of England
E08000024,394,Sunderland,E12000001,North East
E10000030,936,Surrey,E12000008,South East
E09000029,319,Sutton,E12000007,London
E06000030,866,Swindon,E12000009,South West
E08000008,357,Tameside,E12000002,North West
E06000020,894,Telford and Wrekin,E12000005,West Midlands
E06000034,883,Thurrock,E12000006,East of England
E06000027,880,Torbay,E12000009,South West
E09000030,211,Tower Hamlets,E12000007,London
E08000009,358,Trafford,E12000002,North West
E08000036,384,Wakefield,E12000003,Yorkshire and The Humber
E08000030,335,Walsall,E12000005,West Midlands
E09000031,320,Waltham Forest,E12000007,London
E09000032,212,Wandsworth,E12000007,London
E06000007,877,Warrington,E12000002,North West
E10000031,937,Warwickshire,E12000005,West Midlands
E06000037,869,West Berkshire,E12000008,South East
E06000062,941,West Northamptonshire,E12000004,East Midlands
E10000032,938,West Sussex,E12000008,South East
E09000033,213,Westminster,E12000007,London
E06000064,943,Westmorland and Furness,E12000002,North West
E08000010,359,Wigan,E12000002,North West
E06000054,865,Wiltshire,E12000009,South West
E06000040,868,Windsor and Maidenhead,E12000008,South East
E08000015,344,Wirral,E12000002,North West
E06000041,872,Wokingham,E12000008,South East
E08000031,336,Wolverhampton,E12000005,West Midlands
E10000034,885,Worcestershire,E12000005,West Midlands
E06000014,816,York,E12000003,Yorkshire and The Humber

