time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,num_new_plans,pc_new_plans
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Ethnicity minor,White and Black Caribbean,8,0.210526316
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Sex,Female,1173,30.86842105
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Sex,Male,2627,69.13157895
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Sex,Not known,0,0
2023,Calendar year,Regional,E92000001,England,E12000001,North East,,,,Total,Total,3800,100
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity major,Asian/Asian British,6,2.43902439
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity major,Black/African/Caribbean/Black British,8,3.25203252
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity major,Mixed/Multiple ethnic groups,11,4.471544715
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity major,Other ethnic group,12,4.87804878
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity major,Unknown,2,0.81300813
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity major,White,207,84.14634146
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,African,1,0.406504065
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Any other Asian background,2,0.81300813
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Any other Black/African/Caribbean background,7,2.845528455
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Any other Mixed/Multiple ethnic background,11,4.471544715
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Any other White background,5,2.032520325
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Any other ethnic group,12,4.87804878
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Bangladeshi,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Caribbean,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Chinese,2,0.81300813
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,English/Welsh/Scottish/Northern Irish/British,202,82.11382114
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Gypsy/Roma,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Indian,2,0.81300813
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Irish,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Irish traveller,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity minor,Pakistani,0,0
