time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,age,ehcp_or_statement,num_caseload,pc_caseload,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Age 5 to 10,Total,207,24.09779,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Total,EHCP,859,100,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Total,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Total,Total,859,100,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Under 5,EHCP,25,2.91036,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Under 5,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Under 5,Total,25,2.91036,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,Age 11 to 15,EHCP,709,37.87393,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,Age 11 to 15,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,Age 11 to 15,Total,709,37.87393,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,Age 16 to 19,EHCP,331,17.68162,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,Age 16 to 19,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,Age 16 to 19,Total,331,17.68162,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,Age 20 to 25,EHCP,50,2.67094,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,Age 20 to 25,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,Age 20 to 25,Total,50,2.67094,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,Age 5 to 10,EHCP,628,33.54701,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,Age 5 to 10,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,Age 5 to 10,Total,628,33.54701,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,Total,EHCP,1872,100,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,Total,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,Total,Total,1872,100,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,Under 5,EHCP,154,8.2265,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,Under 5,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,Under 5,Total,154,8.2265,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 11 to 15,EHCP,600,40.24145,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 11 to 15,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 11 to 15,Total,600,40.24145,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 16 to 19,EHCP,349,23.40711,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 16 to 19,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 16 to 19,Total,349,23.40711,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 20 to 25,EHCP,47,3.15225,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 20 to 25,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 20 to 25,Total,47,3.15225,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 5 to 10,EHCP,420,28.16901,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 5 to 10,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Age 5 to 10,Total,420,28.16901,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Total,EHCP,1491,100,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Total,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Total,Total,1491,100,,,,,,,,
