time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,ehcp_or_statement,age,weeks,num_children_yp
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,EHCP,Total,38 to 51,26
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,EHCP,Total,52,39
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,statement,Total,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000002,North West,,,,statement,Total,52,z
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,under 5,38 to 51,0
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,5 to 10,38 to 51,2
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,11 to 15,38 to 51,15
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,16 to 19,38 to 51,11
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,20 to 25,38 to 51,8
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,under 5,52,0
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,5 to 10,52,4
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,11 to 15,52,34
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,16 to 19,52,23
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,20 to 25,52,3
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,statement,under 5,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,statement,5 to 10,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,statement,11 to 15,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,statement,16 to 19,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,statement,under 5,52,z
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,statement,5 to 10,52,z
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,statement,11 to 15,52,z
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,statement,16 to 19,52,z
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,Total,38 to 51,36
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,EHCP,Total,52,64
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,statement,Total,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,statement,Total,52,z
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,under 5,38 to 51,0
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,5 to 10,38 to 51,3
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,11 to 15,38 to 51,32
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,16 to 19,38 to 51,23
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,20 to 25,38 to 51,9
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,under 5,52,0
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,5 to 10,52,0
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,11 to 15,52,14
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,16 to 19,52,14
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,20 to 25,52,1
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,statement,under 5,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,statement,5 to 10,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,statement,11 to 15,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,statement,16 to 19,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,statement,under 5,52,z
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,statement,5 to 10,52,z
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,statement,11 to 15,52,z
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,statement,16 to 19,52,z
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,Total,38 to 51,67
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,EHCP,Total,52,29
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,statement,Total,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,statement,Total,52,z
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,EHCP,under 5,38 to 51,0
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,EHCP,5 to 10,38 to 51,2
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,EHCP,11 to 15,38 to 51,18
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,EHCP,16 to 19,38 to 51,27
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,EHCP,20 to 25,38 to 51,30
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,EHCP,under 5,52,0
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,EHCP,5 to 10,52,5
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,EHCP,11 to 15,52,46
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,EHCP,16 to 19,52,29
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,EHCP,20 to 25,52,8
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,statement,under 5,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,statement,5 to 10,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,statement,11 to 15,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,statement,16 to 19,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,statement,under 5,52,z
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,statement,5 to 10,52,z
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,statement,11 to 15,52,z
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,statement,16 to 19,52,z
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,EHCP,Total,38 to 51,77
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,EHCP,Total,52,88
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,statement,Total,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,statement,Total,52,z
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,EHCP,under 5,38 to 51,0
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,EHCP,5 to 10,38 to 51,44
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,EHCP,11 to 15,38 to 51,140
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,EHCP,16 to 19,38 to 51,61
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,EHCP,20 to 25,38 to 51,10
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,EHCP,under 5,52,0
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,EHCP,5 to 10,52,4
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,EHCP,11 to 15,52,49
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,EHCP,16 to 19,52,42
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,EHCP,20 to 25,52,5
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,statement,under 5,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,statement,5 to 10,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,statement,11 to 15,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,statement,16 to 19,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,statement,under 5,52,z
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,statement,5 to 10,52,z
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,statement,11 to 15,52,z
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,statement,16 to 19,52,z
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,EHCP,Total,38 to 51,255
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,EHCP,Total,52,100
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,statement,Total,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,statement,Total,52,z
2024,Calendar year,Regional,E92000001,England,E12000008,South East,,,,EHCP,under 5,38 to 51,5
2024,Calendar year,Regional,E92000001,England,E12000008,South East,,,,EHCP,5 to 10,38 to 51,45
2024,Calendar year,Regional,E92000001,England,E12000008,South East,,,,EHCP,11 to 15,38 to 51,172
2024,Calendar year,Regional,E92000001,England,E12000008,South East,,,,EHCP,16 to 19,38 to 51,183
2024,Calendar year,Regional,E92000001,England,E12000008,South East,,,,EHCP,20 to 25,38 to 51,82
2024,Calendar year,Regional,E92000001,England,E12000008,South East,,,,EHCP,under 5,52,0
2024,Calendar year,Regional,E92000001,England,E12000008,South East,,,,EHCP,5 to 10,52,13
2024,Calendar year,Regional,E92000001,England,E12000008,South East,,,,EHCP,11 to 15,52,85
2024,Calendar year,Regional,E92000001,England,E12000008,South East,,,,EHCP,16 to 19,52,68
2024,Calendar year,Regional,E92000001,England,E12000008,South East,,,,EHCP,20 to 25,52,35
2024,Calendar year,Regional,E92000001,England,E12000008,South East,,,,statement,under 5,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000008,South East,,,,statement,5 to 10,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000008,South East,,,,statement,11 to 15,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000008,South East,,,,statement,16 to 19,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000008,South East,,,,statement,under 5,52,z
2024,Calendar year,Regional,E92000001,England,E12000008,South East,,,,statement,5 to 10,52,z
2024,Calendar year,Regional,E92000001,England,E12000008,South East,,,,statement,11 to 15,52,z
2024,Calendar year,Regional,E92000001,England,E12000008,South East,,,,statement,16 to 19,52,z
2024,Calendar year,Regional,E92000001,England,E12000008,South East,,,,EHCP,Total,38 to 51,487
2024,Calendar year,Regional,E92000001,England,E12000008,South East,,,,EHCP,Total,52,201
2024,Calendar year,Regional,E92000001,England,E12000008,South East,,,,statement,Total,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000008,South East,,,,statement,Total,52,z
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,EHCP,under 5,38 to 51,0
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,EHCP,5 to 10,38 to 51,11
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,EHCP,11 to 15,38 to 51,70
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,EHCP,16 to 19,38 to 51,75
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,EHCP,20 to 25,38 to 51,36
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,EHCP,under 5,52,0
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,EHCP,5 to 10,52,13
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,EHCP,11 to 15,52,56
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,EHCP,16 to 19,52,37
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,EHCP,20 to 25,52,8
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,statement,under 5,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,statement,5 to 10,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,statement,11 to 15,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,statement,16 to 19,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,statement,under 5,52,z
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,statement,5 to 10,52,z
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,statement,11 to 15,52,z
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,statement,16 to 19,52,z
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,EHCP,Total,38 to 51,192
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,EHCP,Total,52,114
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,statement,Total,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,statement,Total,52,z
2024,Calendar year,Regional,E92000001,England,E13000001,Inner London,,,,EHCP,under 5,38 to 51,0
2024,Calendar year,Regional,E92000001,England,E13000001,Inner London,,,,EHCP,5 to 10,38 to 51,2
2024,Calendar year,Regional,E92000001,England,E13000001,Inner London,,,,EHCP,11 to 15,38 to 51,15
2024,Calendar year,Regional,E92000001,England,E13000001,Inner London,,,,EHCP,16 to 19,38 to 51,25
2024,Calendar year,Regional,E92000001,England,E13000001,Inner London,,,,EHCP,20 to 25,38 to 51,8
2024,Calendar year,Regional,E92000001,England,E13000001,Inner London,,,,EHCP,under 5,52,0
2024,Calendar year,Regional,E92000001,England,E13000001,Inner London,,,,EHCP,5 to 10,52,0
2024,Calendar year,Regional,E92000001,England,E13000001,Inner London,,,,EHCP,11 to 15,52,10
2024,Calendar year,Regional,E92000001,England,E13000001,Inner London,,,,EHCP,16 to 19,52,7
2024,Calendar year,Regional,E92000001,England,E13000001,Inner London,,,,EHCP,20 to 25,52,3
2024,Calendar year,Regional,E92000001,England,E13000001,Inner London,,,,statement,under 5,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E13000001,Inner London,,,,statement,5 to 10,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E13000001,Inner London,,,,statement,11 to 15,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E13000001,Inner London,,,,statement,16 to 19,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E13000001,Inner London,,,,statement,under 5,52,z
2024,Calendar year,Regional,E92000001,England,E13000001,Inner London,,,,statement,5 to 10,52,z
2024,Calendar year,Regional,E92000001,England,E13000001,Inner London,,,,statement,11 to 15,52,z
2024,Calendar year,Regional,E92000001,England,E13000001,Inner London,,,,statement,16 to 19,52,z
2024,Calendar year,Regional,E92000001,England,E13000001,Inner London,,,,EHCP,Total,38 to 51,50
2024,Calendar year,Regional,E92000001,England,E13000001,Inner London,,,,EHCP,Total,52,20
2024,Calendar year,Regional,E92000001,England,E13000001,Inner London,,,,statement,Total,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E13000001,Inner London,,,,statement,Total,52,z
2024,Calendar year,Regional,E92000001,England,E13000002,Outer London,,,,EHCP,under 5,38 to 51,1
2024,Calendar year,Regional,E92000001,England,E13000002,Outer London,,,,EHCP,5 to 10,38 to 51,2
2024,Calendar year,Regional,E92000001,England,E13000002,Outer London,,,,EHCP,11 to 15,38 to 51,47
2024,Calendar year,Regional,E92000001,England,E13000002,Outer London,,,,EHCP,16 to 19,38 to 51,61
2024,Calendar year,Regional,E92000001,England,E13000002,Outer London,,,,EHCP,20 to 25,38 to 51,36
2024,Calendar year,Regional,E92000001,England,E13000002,Outer London,,,,EHCP,under 5,52,0
2024,Calendar year,Regional,E92000001,England,E13000002,Outer London,,,,EHCP,5 to 10,52,6
2024,Calendar year,Regional,E92000001,England,E13000002,Outer London,,,,EHCP,11 to 15,52,27
2024,Calendar year,Regional,E92000001,England,E13000002,Outer London,,,,EHCP,16 to 19,52,25
2024,Calendar year,Regional,E92000001,England,E13000002,Outer London,,,,EHCP,20 to 25,52,16
2024,Calendar year,Regional,E92000001,England,E13000002,Outer London,,,,statement,under 5,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E13000002,Outer London,,,,statement,5 to 10,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E13000002,Outer London,,,,statement,11 to 15,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E13000002,Outer London,,,,statement,16 to 19,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E13000002,Outer London,,,,statement,under 5,52,z
2024,Calendar year,Regional,E92000001,England,E13000002,Outer London,,,,statement,5 to 10,52,z
2024,Calendar year,Regional,E92000001,England,E13000002,Outer London,,,,statement,11 to 15,52,z
2024,Calendar year,Regional,E92000001,England,E13000002,Outer London,,,,statement,16 to 19,52,z
2024,Calendar year,Regional,E92000001,England,E13000002,Outer London,,,,EHCP,Total,38 to 51,147
2024,Calendar year,Regional,E92000001,England,E13000002,Outer London,,,,EHCP,Total,52,74
2024,Calendar year,Regional,E92000001,England,E13000002,Outer London,,,,statement,Total,38 to 51,z
2024,Calendar year,Regional,E92000001,England,E13000002,Outer London,,,,statement,Total,52,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,EHCP,under 5,38 to 51,0
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,EHCP,5 to 10,38 to 51,0
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,EHCP,11 to 15,38 to 51,0
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,EHCP,16 to 19,38 to 51,0
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,EHCP,20 to 25,38 to 51,0
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,EHCP,under 5,52,0
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,EHCP,5 to 10,52,0
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,EHCP,11 to 15,52,2
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,EHCP,16 to 19,52,0
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,EHCP,20 to 25,52,0
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,statement,under 5,38 to 51,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,statement,5 to 10,38 to 51,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,statement,11 to 15,38 to 51,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,statement,16 to 19,38 to 51,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,statement,under 5,52,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,statement,5 to 10,52,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,statement,11 to 15,52,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,statement,16 to 19,52,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,EHCP,Total,38 to 51,0
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,EHCP,Total,52,2
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,statement,Total,38 to 51,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,statement,Total,52,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,EHCP,under 5,38 to 51,0
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,EHCP,5 to 10,38 to 51,0
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,EHCP,11 to 15,38 to 51,1
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,EHCP,16 to 19,38 to 51,2
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,EHCP,20 to 25,38 to 51,0
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,EHCP,under 5,52,0
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,EHCP,5 to 10,52,0
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,EHCP,11 to 15,52,1
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,EHCP,16 to 19,52,1
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,EHCP,20 to 25,52,1
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,statement,under 5,38 to 51,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,statement,5 to 10,38 to 51,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,statement,11 to 15,38 to 51,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,statement,16 to 19,38 to 51,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,statement,under 5,52,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,statement,5 to 10,52,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,statement,11 to 15,52,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,statement,16 to 19,52,z
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,EHCP,Total,38 to 51,3
2024,Calendar year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,EHCP,Total,52,3
